scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
153691,Nippon India MNC Fund- Regular Plan-Growth Option,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153695,Invesco India Income Plus Arbitrage Active Fund of Fund - Regular Plan - Growth Plan,Invesco Asset Management (India) Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153700,360 ONE Overnight Fund - Regular Plan - Growth,360 ONE Asset Management Limited,Open Ended,Debt Scheme - Overnight Fund,Debt,Overnight Fund
153710,Groww Nifty 50 Index Fund Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153707,quant Equity Savings Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Hybrid Scheme - Equity Savings,Hybrid,Equity Savings
153713,Edelweiss Income Plus Arbitrage Active Fund of Funds - Regular-Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153716,SBI Nifty100 Low Volatility 30 Index Fund- Regular Plan- Growth,SBI Funds Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153721,Bandhan Multi-Factor Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153725,Nippon India Nifty 1D Rate Liquid ETF-Growth,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153726,Bank of India Mid Cap Fund - Regular Plan Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
153733,Franklin India Multi Asset Allocation Fund- Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
153735,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund- Regular Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153739,CAPITALMIND FLEXI CAP FUND REGULAR GROWTH,Capitalmind Asset Management Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
153742,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Regular Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153748,Groww BSE Power ETF FOF Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153751,Motilal Oswal Special Opportunities Fund-Regular Plan-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153755,Kotak Active Momentum Fund - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153769,BAJAJ FINSERV EQUITY SAVINGS FUND - REGULAR - GROWTH,Bajaj Finserv Asset Management Limited,Open Ended,Hybrid Scheme - Equity Savings,Hybrid,Equity Savings
153772,360 ONE Multi Asset Allocation Fund - Regular Plan - Growth,360 ONE Asset Management Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
153779,Edelweiss Multi Asset Omni Fund of Fund- Regular Plan - Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153784,Kotak Nifty Alpha 50 Index Fund - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153798,Groww Nifty Next 50 Index Fund Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153794,Baroda BNP Paribas Gold ETF Fund of Funds Regular Growth,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153796,SBI Nifty 1D Rate Liquid ETF - Growth,SBI Funds Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153802,DSP Nifty500 Flexicap Quality 30 Index Fund - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153805,TRUSTMF ARBITRAGE FUND -REGULAR PLAN-GROWTH,Trust Asset Management Private Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
153809,Nippon India Nifty India Manufacturing Index-Regular Plan-Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153814,Mirae Asset Gold Silver Passive FoF - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153818,Mirae Asset Multi Factor Passive FOF - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
