scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100039,Birla Income Plus-Institutional (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100078,DSP Bond Fund - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
105875,DSP Flexi Cap Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100084,DSP Gilt Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100087,DSP Savings Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100124,HDFC Income Fund - Growth Option,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100127,HDFC Income Fund-Premium Plus Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100128,HDFC Income Fund-Premium Plan Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100129,HDFC Income Fund-Premium Plus Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100177,quant Small Cap Fund - Growth - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
100219,JM Large Cap Fund (Regular) - Growth Option,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,JM Financial Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100224,JM Income Fund-Serial Plan 2004 Growth,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100226,JM Income Fund-JM Income Fund - Serial Plan 2004 Growth,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100227,JM Income Fund-Serial Plan 2004 Growth,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100234,JM Liquid Fund - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100250,JM G-Sec Fund - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100265,Kotak Gilt-Investment Regular-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100267,Kotak Gilt-Serial 2001-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100269,Kotak Gilt-Serial 2003-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
133036,Kotak Aggressive Hybrid Fund - Regular Plan -Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100292,Kotak Bond-Deposit-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100303,Kotak Bond-Serial 2001 B-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100305,Kotak Bond-Serial 2002 A-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100296,Kotak Bond-Deposit-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100297,Kotak Bond-Deposit-Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100299,Kotak Bond Fund - Regular Plan Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100317,LIC MF Gilt Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100319,LIC MF Gilt Fund-PF Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100322,LICMF Balanced Fund-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
106871,LIC MF Large Cap Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
115201,LIC NOMURA  MF Growth Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100349,ICICI Prudential Large & Mid Cap Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100352,ICICI Prudential FMCG Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100356,ICICI Prudential Equity & Debt Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100363,ICICI Prudential Technology Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100365,ICICI Prudential Long Term Bond Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Long Duration Fund,Debt,Long Duration Fund
100369,ICICI Prudential Gilt Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100371,ICICI Prudential Short Term Gilt Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100387,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100476,Taurus Flexi Cap Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100477,Taurus Mid Cap Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
100493,Franklin India Government Securities Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100499,Franklin India Dynamic Accrual Fund-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
147987,Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
148307,Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
147981,Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
113135,Franklin India Low Duration Fund - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
148000,Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
147994,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
100471,Franklin India Large Cap Fund-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100473,Franklin India Mid Cap Fund-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
100520,Franklin India Flexi Cap Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100522,Franklin India Technology Fund-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
103151,Franklin India Opportunities Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100526,Franklin India ELSS Tax Saver Fund-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100528,Franklin India Corporate Debt Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
100536,Franklin India Retirement Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Solution Oriented Scheme - Retirement Fund,Solution Oriented,Retirement Fund
100538,Franklin India Liquid Fund - Regular Plan - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
139891,Franklin India Liquid Fund - Unclaimed Redemption Investor Education Plan - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
139889,Franklin India Liquid Fund - Unclaimed Redemption Plan - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100550,Franklin India Aggressive Hybrid Fund - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
111722,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,Sundaram Asset Management Company Ltd,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Growth,Sundaram Asset Management Company Ltd,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,Sundaram Asset Management Company Ltd,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100639,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,SBI Funds Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
120577,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,SBI Funds Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
120576,SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,SBI Funds Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100651,UTI Large Cap Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100669,UTI - Flexi Cap Fund-Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,UTI Asset Mgmt. Co. Ltd.,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100721,UTI MMF-Growth,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
100723,UTI MMF-Discontinued - Regular Plan -Growth,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
112077,UTI MMF - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
100740,UTI - MNC Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100741,UTI Medium to Long Duration Fund- Regular Plan - Growth,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100807,UTI Healthcare Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100810,UTI - G-Sec Fund-Growth,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Overnight Fund,Debt,Overnight Fund
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Overnight Fund,Debt,Overnight Fund
100821,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
100835,Kotak Liquid Fund - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100837,Nippon India Liquid Fund - Retail Option - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100841,Nippon India Liquid Fund-Treasury Plan-Growth Option - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100850,Reliance Liquid Fund-Super Cash Plan-Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100851,Nippon India Liquid Fund -Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100845,Reliance Liquid Fund-Cash Plan-Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
100865,LIC MF ELSS Tax Saver-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100868,HDFC Liquid Fund - Growth Plan,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100872,HDFC Liquid Fund-PREMIUM PLUS- Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100873,HDFC Liquid Fund-PREMIUM- Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100948,Franklin India Conservative Hybrid Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
148297,Franklin India Conservative Hybrid Fund - Segregated Portfolio 1 (10.25% Yes bank Ltd CO 05Mar20) - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
100998,HDFC Long Term Advantage Plan - Growth Plan,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
101065,quant Mid Cap Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
101070,quant Aggressive Hybrid Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Multi Cap Fund,Equity,Multi Cap Fund
101072,quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan,quant Money Managers Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
101045,Templeton India Liquid Plus-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Floater Fund,Debt,Floater Fund
101046,Templeton India Liquid Plus-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Floater Fund,Debt,Floater Fund
101047,Templeton India Liquid Plus-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Floater Fund,Debt,Floater Fund
101048,Franklin India Floating Rate Fund - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Floater Fund,Debt,Floater Fund
100414,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,Tata Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
132757,Tata ELSS Fund-Growth-Regular Plan,Tata Asset Management Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
101083,HDFC Gilt Fund - Growth Plan,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
101228,ICICI Prudential Multicap Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Multi Cap Fund,Equity,Multi Cap Fund
101231,ICICI Prudential Short Term Fund-Institutional Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101316,Aditya Birla Sun Life Savings Fund-Retail Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Debt,Ultra Short Duration Fund
101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Debt,Ultra Short Duration Fund
101357,Franklin India Money Market Fund - Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
101358,Franklin India Money Market Fund - Institutional Option - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
109353,CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
101232,Franklin India Short-Term Income Plan-Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101234,Templeton India Short-Term Income Plan-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148318,Franklin India Short Term Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Retail Plan Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148314,Franklin India Short Term Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Institutional Plan Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148013,Franklin India Short term Income Plan- Institutional Plan- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148008,Franklin India Short term Income Plan-Institutional Plan- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148010,Franklin India Short term Income Plan- Retail Plan- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
148001,Franklin India Short-Term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
111704,Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
101221,ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
101185,LIC MF Liquid Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
101187,Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
101209,Taurus Large Cap Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
112094,ICICI Prudential All Seasons Bond Fund - Premium Growth Option,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
112096,ICICI Prudential All Seasons Bond Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
101373,Kotak Bond Short Term Plan-(Growth),Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101520,JM Short Term Fund - Regular Plan - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
101521,JM Short Term Fund - Growth Option,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
